index,runs,opponent,ground,date,match,Match_No,total,Column1
0,12,SriLanka,Dambulla,18-Aug-08,ODI,1,12,2008
1,37,SriLanka,Dambulla,20-Aug-08,ODI,2,49,2008
2,25,SriLanka,Colombo(RPS),24-Aug-08,ODI,3,74,2008
3,54,SriLanka,Colombo(RPS),27-Aug-08,ODI,4,128,2008
4,31,SriLanka,Colombo(RPS),29-Aug-08,ODI,5,159,2008
5,2,SriLanka,Colombo(RPS),14-Sep-09,ODI,6,161,2009
6,16,Pakistan,Centurion,26-Sep-09,ODI,7,177,2009
8,79,WestIndies,Johannesburg,30-Sep-09,ODI,8,256,2009
9,30,Australia,Vadodara,25-Oct-09,ODI,9,286,2009
10,10,Australia,Mohali,2-Nov-09,ODI,10,296,2009
11,27,SriLanka,Rajkot,15-Dec-09,ODI,11,323,2009
12,54,SriLanka,Nagpur,18-Dec-09,ODI,12,377,2009
13,107,SriLanka,Kolkata,24-Dec-09,ODI,13,484,2009
15,9,SriLanka,Mirpur,5-Jan-10,ODI,14,493,2010
16,91,Bangladesh,Mirpur,7-Jan-10,ODI,15,584,2010
17,71,SriLanka,Mirpur,10-Jan-10,ODI,16,655,2010
18,102,Bangladesh,Mirpur,11-Jan-10,ODI,17,757,2010
19,2,SriLanka,Mirpur,13-Jan-10,ODI,18,759,2010
20,31,SouthAfrica,Jaipur,21-Feb-10,ODI,19,790,2010
22,57,SouthAfrica,Ahmedabad,27-Feb-10,ODI,20,847,2010
23,0,Zimbabwe,Bulawayo,28-May-10,ODI,21,847,2010
24,82,SriLanka,Bulawayo,30-May-10,ODI,22,929,2010
25,18,Zimbabwe,Harare,3-Jun-10,ODI,23,947,2010
26,68,SriLanka,Harare,5-Jun-10,ODI,24,1015,2010
27,26,Zimbabwe,Harare,12-Jun-10,T20,25,1041,2010
29,11,Bangladesh,Dambulla,16-Jun-10,ODI,26,1052,2010
30,18,Pakistan,Dambulla,19-Jun-10,ODI,27,1070,2010
31,10,SriLanka,Dambulla,22-Jun-10,ODI,28,1080,2010
32,28,SriLanka,Dambulla,24-Jun-10,ODI,29,1108,2010
33,0,SriLanka,Dambulla,16-Aug-10,ODI,30,1108,2010
34,8,NewZealand,Dambulla,25-Aug-10,ODI,31,1116,2010
35,37,SriLanka,Dambulla,28-Aug-10,ODI,32,1153,2010
36,118,Australia,Visakhapatnam,20-Oct-10,ODI,33,1271,2010
37,105,NewZealand,Guwahati,28-Nov-10,ODI,34,1376,2010
38,64,NewZealand,Jaipur,1-Dec-10,ODI,35,1440,2010
39,63,NewZealand,Vadodara,4-Dec-10,ODI,36,1503,2010
40,0,NewZealand,Bengaluru,7-Dec-10,ODI,37,1503,2010
41,2,NewZealand,Chennai,10-Dec-10,ODI,38,1505,2010
42,28,SouthAfrica,Durban,9-Jan-11,T20,39,1533,2011
43,54,SouthAfrica,Durban,12-Jan-11,ODI,40,1587,2011
44,22,SouthAfrica,Johannesburg,15-Jan-11,ODI,41,1609,2011
45,28,SouthAfrica,CapeTown,18-Jan-11,ODI,42,1637,2011
46,87,SouthAfrica,Gqeberha,21-Jan-11,ODI,43,1724,2011
47,2,SouthAfrica,Centurion,23-Jan-11,ODI,44,1726,2011
48,100,Bangladesh,Mirpur,19-Feb-11,ODI,45,1826,2011
49,8,England,Bengaluru,27-Feb-11,ODI,46,1834,2011
50,34,Ireland,Bengaluru,6-Mar-11,ODI,47,1868,2011
51,12,Netherlands,Delhi,9-Mar-11,ODI,48,1880,2011
52,1,SouthAfrica,Nagpur,12-Mar-11,ODI,49,1881,2011
53,59,WestIndies,Chennai,20-Mar-11,ODI,50,1940,2011
54,24,Australia,Ahmedabad,24-Mar-11,ODI,51,1964,2011
55,9,Pakistan,Mohali,30-Mar-11,ODI,52,1973,2011
56,35,SriLanka,Wankhede,2-Apr-11,ODI,53,2008,2011
57,14,WestIndies,PortofSpain,4-Jun-11,T20,54,2022,2011
58,2,WestIndies,PortofSpain,6-Jun-11,ODI,55,2024,2011
59,81,WestIndies,PortofSpain,8-Jun-11,ODI,56,2105,2011
60,0,WestIndies,NorthSound,11-Jun-11,ODI,57,2105,2011
61,22,WestIndies,NorthSound,13-Jun-11,ODI,58,2127,2011
62,94,WestIndies,Kingston,16-Jun-11,ODI,59,2221,2011
63,4,WestIndies,Kingston,20-Jun-11,Test,60,2225,2011
64,15,WestIndies,Kingston,20-Jun-11,Test,61,2240,2011
65,0,WestIndies,Bridgetown,28-Jun-11,Test,62,2240,2011
66,27,WestIndies,Bridgetown,28-Jun-11,Test,63,2267,2011
67,30,WestIndies,Roseau,6-Jul-11,Test,64,2297,2011
69,4,England,Manchester,31-Aug-11,T20,65,2301,2011
70,55,England,Chester-le-Street,3-Sep-11,ODI,66,2356,2011
71,9,England,Southampton,6-Sep-11,ODI,67,2365,2011
72,7,England,TheOval,9-Sep-11,ODI,68,2372,2011
73,16,England,Lord's,11-Sep-11,ODI,69,2388,2011
74,107,England,Cardiff,16-Sep-11,ODI,70,2495,2011
75,37,England,Hyderabad(Deccan),14-Oct-11,ODI,71,2532,2011
76,112,England,Delhi,17-Oct-11,ODI,72,2644,2011
77,35,England,Mohali,20-Oct-11,ODI,73,2679,2011
78,86,England,Wankhede,23-Oct-11,ODI,74,2765,2011
79,0,England,Kolkata,25-Oct-11,ODI,75,2765,2011
80,15,England,Kolkata,29-Oct-11,T20,76,2780,2011
81,52,WestIndies,Wankhede,22-Nov-11,Test,77,2832,2011
82,63,WestIndies,Wankhede,22-Nov-11,Test,78,2895,2011
83,3,WestIndies,Cuttack,29-Nov-11,ODI,79,2898,2011
84,117,WestIndies,Visakhapatnam,2-Dec-11,ODI,80,3015,2011
85,20,WestIndies,Ahmedabad,5-Dec-11,ODI,81,3035,2011
86,23,WestIndies,Indore,8-Dec-11,ODI,82,3058,2011
87,80,WestIndies,Chennai,11-Dec-11,ODI,83,3138,2011
88,11,Australia,Melbourne,26-Dec-11,Test,84,3149,2011
89,0,Australia,Melbourne,26-Dec-11,Test,85,3149,2011
90,23,Australia,Sydney,3-Jan-12,Test,86,3172,2012
91,9,Australia,Sydney,3-Jan-12,Test,87,3181,2012
92,44,Australia,Perth,13-Jan-12,Test,88,3225,2012
93,75,Australia,Perth,13-Jan-12,Test,89,3300,2012
94,116,Australia,Adelaide,24-Jan-12,Test,90,3416,2012
95,22,Australia,Adelaide,24-Jan-12,Test,91,3438,2012
96,22,Australia,Sydney,1-Feb-12,T20,92,3460,2012
97,31,Australia,Melbourne,3-Feb-12,T20,93,3491,2012
98,31,Australia,Melbourne,5-Feb-12,ODI,94,3522,2012
99,77,SriLanka,Perth,8-Feb-12,ODI,95,3599,2012
100,18,Australia,Adelaide,12-Feb-12,ODI,96,3617,2012
101,15,SriLanka,Adelaide,14-Feb-12,ODI,97,3632,2012
102,12,Australia,Brisbane,19-Feb-12,ODI,98,3644,2012
103,66,SriLanka,Brisbane,21-Feb-12,ODI,99,3710,2012
104,21,Australia,Sydney,26-Feb-12,ODI,100,3731,2012
105,133,SriLanka,Hobart,28-Feb-12,ODI,101,3864,2012
106,108,SriLanka,Mirpur,13-Mar-12,ODI,102,3972,2012
107,66,Bangladesh,Mirpur,16-Mar-12,ODI,103,4038,2012
108,183,Pakistan,Mirpur,18-Mar-12,ODI,104,4221,2012
110,106,SriLanka,Hambantota,21-Jul-12,ODI,105,4327,2012
111,1,SriLanka,Hambantota,24-Jul-12,ODI,106,4328,2012
112,38,SriLanka,Colombo(RPS),28-Jul-12,ODI,107,4366,2012
113,128,SriLanka,Colombo(RPS),31-Jul-12,ODI,108,4494,2012
114,23,SriLanka,Pallekele,4-Aug-12,ODI,109,4517,2012
115,68,SriLanka,Pallekele,7-Aug-12,T20,110,4585,2012
116,58,NewZealand,Hyderabad(Deccan),23-Aug-12,Test,111,4643,2012
117,103,NewZealand,Bengaluru,31-Aug-12,Test,112,4746,2012
118,51,NewZealand,Bengaluru,31-Aug-12,Test,113,4797,2012
119,70,NewZealand,Chennai,11-Sep-12,T20,114,4867,2012
120,50,Afghanistan,Colombo(RPS),19-Sep-12,T20,115,4917,2012
121,40,England,Colombo(RPS),23-Sep-12,T20,116,4957,2012
122,15,Australia,Colombo(RPS),28-Sep-12,T20,117,4972,2012
123,78,Pakistan,Colombo(RPS),30-Sep-12,T20,118,5050,2012
124,2,SouthAfrica,Colombo(RPS),2-Oct-12,T20,119,5052,2012
125,19,England,Ahmedabad,15-Nov-12,Test,120,5071,2012
126,14,England,Ahmedabad,15-Nov-12,Test,121,5085,2012
127,19,England,Wankhede,23-Nov-12,Test,122,5104,2012
128,7,England,Wankhede,23-Nov-12,Test,123,5111,2012
129,6,England,Kolkata,5-Dec-12,Test,124,5117,2012
130,20,England,Kolkata,5-Dec-12,Test,125,5137,2012
